"id_plant","date","weight_kg","timing","estimated_weight_after","dryW_kg","phyto","treatment_co2","water_treatment","plant_in_pot","increment_g","day_incr","daily_transp","estimated_weight_before","daily_transp_est_20210506","daily_transp_est_20210603"
41,2021-05-24,5.774,"1_before watering","no",4.02709,2,"ambient","drought","yes",318,4,79.4999999999999,"no",32.1666666666666,NA
41,2021-05-27,5.587,"1_before watering","no",4.02709,2,"ambient","drought","yes",187,3,62.3333333333334,"no",32.1666666666666,NA
42,2021-04-29,6.6465,"2_after watering","no",4.0928,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
42,2021-05-03,6.31433333333333,"1_before watering","no",4.0928,2,"ambient","control","yes",310.666666666666,4,NA,"yes",77.6666666666666,NA
42,2021-05-03,6.625,"2_after watering","no",4.0928,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
42,2021-05-06,6.392,"1_before watering","no",4.0928,2,"ambient","control","yes",233,3,77.6666666666666,"no",77.6666666666666,NA
42,2021-05-06,6.6785,"2_after watering","no",4.0928,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
42,2021-05-07,6.62,"1_before watering","no",4.0928,2,"ambient","control","yes",58.4999999999996,1,58.4999999999996,"no",77.6666666666666,NA
42,2021-05-10,6.312,"1_before watering","no",4.0928,2,"ambient","control","yes",308,3,102.666666666667,"no",77.6666666666666,NA
42,2021-05-10,6.6685,"2_after watering","no",4.0928,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
42,2021-05-13,6.316,"1_before watering","no",4.0928,2,"ambient","control","yes",352.5,3,117.5,"no",77.6666666666666,NA
42,2021-05-13,6.6435,"2_after watering","no",4.0928,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
42,2021-05-17,6.1615,"1_before watering","no",4.0928,2,"ambient","control","yes",482,4,120.5,"no",77.6666666666666,NA
42,2021-05-17,6.545,"2_after watering","no",4.0928,2,"ambient","control","yes",NA,NA,NA,"no",NA,NA
